name,revenue,revenue % change,profit,asset,profit % change,employees,country
Walmart,514405.0,2.8,6670.0,219295.0,-32.4,2200000,U.S.
Sinopec Group,414649.9,26.8,5845.0,329186.3,280.1,619151,China
Royal Dutch Shell,396556.0,27.2,23352.0,399194.0,79.9,81000,Netherlands
China National Petroleum,392976.6,20.5,2270.5,601899.9,,1382401,China
State Grid,387056.0,10.9,8174.8,572309.5,-14.3,917717,China
Saudi Aramco,355905.0,35.3,110974.5,358872.9,46.9,76418,Saudi Arabia
BP,303738.0,24.2,9383.0,282176.0,176.9,73000,Britain
Exxon Mobil,290212.0,18.8,20840.0,346196.0,5.7,71000,U.S.
Volkswagen,278341.5,7.0,14322.5,523672.3,9.3,664496,Germany
Toyota Motor,272612.0,2.8,16982.0,469295.6,-24.6,370870,Japan
Apple,265595.0,15.9,59531.0,365725.0,23.1,132000,U.S.
Berkshire Hathaway,247837.0,2.4,4021.0,707794.0,-91.1,389000,U.S.
Amazon.com,232887.0,30.9,10073.0,162648.0,232.1,647500,U.S.
UnitedHealth Group,226247.0,12.5,11986.0,152221.0,13.5,300000,U.S.
Samsung Electronics,221579.4,4.5,39895.2,304165.3,9.1,309630,South Korea
Glencore,219754.0,6.9,3408.0,128672.0,-41.0,85504,Switzerland
McKesson,214319.0,2.9,34.0,59672.0,-49.3,70000,U.S.
Daimler,197515.3,6.6,8555.0,321890.5,-27.9,298683,Germany
CVS Health,194579.0,5.3,-594.0,196456.0,-109.0,295000,U.S.
Total,184106.0,23.5,11446.0,256762.0,32.6,104460,France
China State Construction Engineering,181524.5,16.3,3159.5,272768.8,18.1,302827,China
Trafigura Group,180744.1,32.5,849.2,53801.0,0.2,4316,Singapore
Hon Hai Precision Industry,175617.0,13.5,4281.6,110012.9,-6.1,667680,Taiwan
EXOR Group,175009.5,8.2,1589.7,190052.3,1.3,314790,Netherlands
AT&T,170756.0,6.4,19370.0,531864.0,-34.2,268220,U.S.
Industrial & Commercial Bank of China,168979.0,10.4,45002.3,4034481.6,6.3,449296,China
AmerisourceBergen,167939.6,9.7,1658.4,37669.8,355.0,20500,U.S.
Chevron,166339.0,23.6,14824.0,253863.0,61.2,48600,U.S.
Ping An Insurance,163597.4,13.5,16237.2,1040383.4,23.2,376900,China
Ford Motor,160338.0,2.3,3677.0,256540.0,-51.6,199000,U.S.
China Construction Bank,151110.8,9.0,38498.4,3382421.7,7.4,366996,China
General Motors,147049.0,-6.5,8014.0,227339.0,,173000,U.S.
Mitsubishi,145243.3,112.7,5328.0,149388.3,5.4,79994,Japan
Honda Motor,143302.9,3.4,5504.6,184504.6,-42.4,219722,Japan
Costco Wholesale,141576.0,9.7,3134.0,40830.0,17.0,194000,U.S.
Agricultural Bank of China,139523.6,14.0,30656.5,3293105.0,7.4,477526,China
Alphabet,136819.0,23.4,30736.0,232792.0,142.7,98771,U.S.
Cardinal Health,136809.0,5.3,256.0,39951.0,-80.1,50200,U.S.
SAIC Motor,136392.5,5.9,5443.8,114011.7,6.9,147738,China
Walgreens Boots Alliance,131537.0,11.3,5024.0,68124.0,23.2,299000,U.S.
JPMorgan Chase & Co.,131412.0,15.4,32474.0,2622532.0,32.9,256105,U.S.
Gazprom,131302.0,17.3,23199.1,300354.8,89.4,466100,Russia
Verizon Communications,130863.0,3.8,15528.0,264829.0,-48.4,144500,U.S.
Bank of China,127714.1,10.6,27225.2,3097612.0,6.7,310119,China
Allianz,126799.6,2.6,8806.4,1025919.1,14.8,142460,Germany
AXA,125578.2,-16.0,2525.6,1063784.4,-63.9,104065,France
Kroger,121162.0,-1.2,3110.0,38118.0,63.1,453000,U.S.
General Electric,120268.0,-1.6,-22355.0,309129.0,,283000,U.S.
Fannie Mae,120101.0,6.9,15959.0,3418318.0,547.9,7400,U.S.
Lukoil,119145.0,26.9,9863.7,82734.8,37.3,102500,Russia
China Life Insurance,116171.5,-3.4,-2566.9,580331.6,-1063.1,175077,China
Japan Post Holdings,115220.5,-1.2,4324.0,2585802.0,4.0,245922,Japan
BMW Group,115042.8,3.4,8399.3,238864.1,-13.6,134682,Germany
Phillips 66,114217.0,24.7,5595.0,54302.0,9.6,14200,U.S.
China Railway Engineering Group,112132.7,9.1,1240.9,137914.2,6.1,307992,China
China Mobile Communications,112096.0,1.8,11745.3,255216.6,7.4,462046,China
